# x_m,y_m,w_tr_right_m,w_tr_left_m
-25.3216,-13.5318,0.7026,0.7026
-25.3216,-13.6032,0.7134,0.7134
-25.3216,-13.6745,0.7134,0.7134
-25.3216,-13.7458,0.7026,0.7026
-25.3929,-13.8172,0.6577,0.6577
-25.3929,-13.8885,0.6768,0.6768
-25.3929,-13.9599,0.7026,0.7026
-25.3929,-14.0312,0.7134,0.7134
-25.3929,-14.1025,0.7026,0.7026
-25.4642,-14.1739,0.6577,0.6577
-25.4642,-14.2452,0.6768,0.6768
-25.4642,-14.3166,0.7026,0.7026
-25.4642,-14.3879,0.7134,0.7134
-25.4642,-14.4592,0.7026,0.7026
-25.5356,-14.5306,0.6577,0.6577
-25.5356,-14.6019,0.6768,0.6768
-25.5356,-14.6733,0.7026,0.7026
-25.5356,-14.7446,0.7134,0.7134
-25.6069,-14.8159,0.6577,0.6577
-25.6069,-14.8873,0.6768,0.6768
-25.6069,-14.9586,0.7026,0.7026
-25.6069,-15.0300,0.7134,0.7134
-25.6069,-15.1013,0.7026,0.7026
-25.6783,-15.1726,0.6577,0.6577
-25.6783,-15.2440,0.6768,0.6768
-25.6783,-15.3153,0.7026,0.7026
-25.6783,-15.3867,0.7134,0.7134
-25.7496,-15.4580,0.6577,0.6577
-25.7496,-15.5293,0.6768,0.6768
-25.7496,-15.6007,0.7026,0.7026
-25.7496,-15.6720,0.7170,0.7170
-25.8209,-15.7434,0.6577,0.6577
-25.8209,-15.8147,0.6768,0.6768
-25.8209,-15.8860,0.7026,0.7026
-25.8209,-15.9574,0.7134,0.7134
-25.8923,-16.0287,0.6460,0.6460
-25.8923,-16.1001,0.6577,0.6577
-25.8923,-16.1714,0.6768,0.6768
-25.8923,-16.2427,0.7026,0.7026
-25.8923,-16.3141,0.7026,0.7026
-25.9636,-16.3854,0.6577,0.6577
-25.9636,-16.4568,0.6768,0.6768
-25.9636,-16.5281,0.7026,0.7026
-25.9636,-16.5994,0.7134,0.7134
-26.0350,-16.6708,0.6577,0.6577
-26.0350,-16.7421,0.6768,0.6768
-26.0350,-16.8135,0.7026,0.7026
-26.0350,-16.8848,0.7170,0.7170
-26.1063,-16.9561,0.6577,0.6577
-26.1063,-17.0275,0.6768,0.6768
-26.1063,-17.0988,0.7026,0.7026
-26.1063,-17.1702,0.7134,0.7134
-26.1776,-17.2415,0.6460,0.6460
-26.1776,-17.3128,0.6577,0.6577
-26.1776,-17.3842,0.6768,0.6768
-26.1776,-17.4555,0.7026,0.7026
-26.1776,-17.5269,0.7026,0.7026
-26.2490,-17.5982,0.6577,0.6577
-26.2490,-17.6695,0.6768,0.6768
-26.2490,-17.7409,0.7026,0.7026
-26.2490,-17.8122,0.7134,0.7134
-26.3203,-17.8836,0.6577,0.6577
-26.3203,-17.9549,0.6768,0.6768
-26.3203,-18.0262,0.7026,0.7026
-26.3203,-18.0976,0.7170,0.7170
-26.3917,-18.1689,0.6577,0.6577
-26.3917,-18.2403,0.6768,0.6768
-26.3917,-18.3116,0.7026,0.7026
-26.3917,-18.3829,0.7134,0.7134
-26.4630,-18.4543,0.6460,0.6460
-26.4630,-18.5256,0.6577,0.6577
-26.4630,-18.5970,0.6768,0.6768
-26.4630,-18.6683,0.7026,0.7026
-26.4630,-18.7396,0.7026,0.7026
-26.5343,-18.8110,0.6577,0.6577
-26.5343,-18.8823,0.6768,0.6768
-26.5343,-18.9537,0.7026,0.7026
-26.5343,-19.0250,0.7134,0.7134
-26.6057,-19.0963,0.6577,0.6577
-26.6057,-19.1677,0.6768,0.6768
-26.6057,-19.2390,0.7026,0.7026
-26.6057,-19.3104,0.7170,0.7170
-26.6770,-19.3817,0.6577,0.6577
-26.6770,-19.4530,0.6768,0.6768
-26.6770,-19.5244,0.7026,0.7026
-26.6770,-19.5957,0.7134,0.7134
-26.7484,-19.6671,0.6460,0.6460
-26.7484,-19.7384,0.6577,0.6577
-26.7484,-19.8097,0.6768,0.6768
-26.7484,-19.8811,0.7026,0.7026
-26.7484,-19.9524,0.7026,0.7026
-26.8197,-20.0238,0.6577,0.6577
-26.8197,-20.0951,0.6768,0.6768
-26.8197,-20.1664,0.7026,0.7026
-26.8197,-20.2378,0.7134,0.7134
-26.8910,-20.3091,0.6577,0.6577
-26.8910,-20.3805,0.6768,0.6768
-26.8910,-20.4518,0.7026,0.7026
-26.8910,-20.5231,0.7134,0.7134
-26.9624,-20.5945,0.6460,0.6460
-26.9624,-20.6658,0.6577,0.6577
-26.9624,-20.7372,0.6768,0.6768
-26.9624,-20.8085,0.7026,0.7026
-27.0337,-20.8798,0.6460,0.6460
-27.0337,-20.9512,0.6577,0.6577
-27.0337,-21.0225,0.6768,0.6768
-27.0337,-21.0939,0.7026,0.7026
-27.0337,-21.1652,0.7026,0.7026
-27.1051,-21.2365,0.6577,0.6577
-27.1051,-21.3079,0.6768,0.6768
-27.1051,-21.3792,0.7026,0.7026
-27.1051,-21.4506,0.7026,0.7026
-27.1764,-21.5219,0.6577,0.6577
-27.1764,-21.5932,0.6768,0.6768
-27.1764,-21.6646,0.7026,0.7026
-27.1764,-21.7359,0.7134,0.7134
-27.1764,-21.8073,0.7026,0.7026
-27.1764,-21.8786,0.6768,0.6768
-27.1764,-21.9499,0.6577,0.6577
-27.2477,-22.0213,0.7026,0.7026
-27.2477,-22.0926,0.7134,0.7134
-27.2477,-22.1640,0.7134,0.7134
-27.2477,-22.2353,0.7134,0.7134
-27.2477,-22.3066,0.7026,0.7026
-27.2477,-22.3780,0.6768,0.6768
-27.3191,-22.4493,0.7134,0.7134
-27.3191,-22.5207,0.7134,0.7134
-27.3191,-22.5920,0.7134,0.7134
-27.3191,-22.6633,0.7134,0.7134
-27.2477,-22.7347,0.6421,0.6421
-27.2477,-22.8060,0.6460,0.6460
-27.2477,-22.8774,0.6577,0.6577
-27.2477,-22.9487,0.6768,0.6768
-27.2477,-23.0200,0.7026,0.7026
-27.2477,-23.0914,0.7026,0.7026
-27.1764,-23.1627,0.6768,0.6768
-27.1764,-23.2341,0.7026,0.7026
-27.1051,-23.3054,0.6730,0.6730
-27.1051,-23.3767,0.7062,0.7062
-27.0337,-23.4481,0.7062,0.7062
-26.9624,-23.5194,0.7062,0.7062
-26.8910,-23.5194,0.6730,0.6730
-26.8197,-23.5908,0.7026,0.7026
-26.7484,-23.5908,0.6730,0.6730
-26.6770,-23.6621,0.7026,0.7026
-26.6057,-23.6621,0.6768,0.6768
-26.5343,-23.6621,0.6577,0.6577
-26.4630,-23.6621,0.6460,0.6460
-26.3917,-23.6621,0.6421,0.6421
-26.3203,-23.7334,0.7134,0.7134
-26.2490,-23.7334,0.7134,0.7134
-26.1776,-23.7334,0.7134,0.7134
-26.1063,-23.7334,0.7134,0.7134
-26.0350,-23.6621,0.6421,0.6421
-25.9636,-23.6621,0.6460,0.6460
-25.8923,-23.6621,0.6577,0.6577
-25.8209,-23.6621,0.6768,0.6768
-25.7496,-23.5908,0.6381,0.6381
-25.6783,-23.5908,0.6730,0.6730
-25.6069,-23.5908,0.7134,0.7134
-25.5356,-23.5194,0.7062,0.7062
-25.4642,-23.4481,0.7062,0.7062
-25.3929,-23.3767,0.7062,0.7062
-25.3216,-23.3054,0.7062,0.7062
-25.2502,-23.2341,0.7062,0.7062
-25.1789,-23.1627,0.7134,0.7134
-25.1075,-23.0914,0.7026,0.7026
-25.1075,-23.0200,0.7026,0.7026
-25.1075,-22.9487,0.6730,0.6730
-25.0362,-22.8774,0.7026,0.7026
-25.0362,-22.8060,0.6768,0.6768
-25.0362,-22.7347,0.6577,0.6577
-24.9649,-22.6633,0.7026,0.7026
-24.9649,-22.5920,0.6768,0.6768
-24.9649,-22.5207,0.6577,0.6577
-24.8935,-22.4493,0.7134,0.7134
-24.8935,-22.3780,0.7026,0.7026
-24.8935,-22.3066,0.6768,0.6768
-24.8935,-22.2353,0.6577,0.6577
-24.8222,-22.1640,0.7026,0.7026
-24.8222,-22.0926,0.7026,0.7026
-24.8222,-22.0213,0.6768,0.6768
-24.8222,-21.9499,0.6577,0.6577
-24.7508,-21.8786,0.7026,0.7026
-24.7508,-21.8073,0.7026,0.7026
-24.7508,-21.7359,0.6768,0.6768
-24.7508,-21.6646,0.6577,0.6577
-24.7508,-21.5932,0.6460,0.6460
-24.6795,-21.5219,0.7026,0.7026
-24.6795,-21.4506,0.6768,0.6768
-24.6795,-21.3792,0.6577,0.6577
-24.6795,-21.3079,0.6460,0.6460
-24.6082,-21.2365,0.7134,0.7134
-24.6082,-21.1652,0.7026,0.7026
-24.6082,-21.0939,0.6768,0.6768
-24.6082,-21.0225,0.6577,0.6577
-24.5368,-20.9512,0.7134,0.7134
-24.5368,-20.8798,0.7134,0.7134
-24.5368,-20.8085,0.7026,0.7026
-24.5368,-20.7372,0.6768,0.6768
-24.5368,-20.6658,0.6577,0.6577
-24.5368,-20.5945,0.6460,0.6460
-24.5368,-20.5231,0.6421,0.6421
-24.4655,-20.4518,0.7134,0.7134
-24.4655,-20.3805,0.7134,0.7134
-24.4655,-20.3091,0.7134,0.7134
-24.4655,-20.2378,0.7134,0.7134
-24.4655,-20.1664,0.7134,0.7134
-24.4655,-20.0951,0.7026,0.7026
-24.4655,-20.0238,0.6768,0.6768
-24.4655,-19.9524,0.6577,0.6577
-24.4655,-19.8811,0.6460,0.6460
-24.4655,-19.8097,0.6421,0.6421
-24.4655,-19.7384,0.6421,0.6421
-24.3941,-19.6671,0.7134,0.7134
-24.3941,-19.5957,0.7134,0.7134
-24.3941,-19.5244,0.7134,0.7134
-24.3941,-19.4530,0.7134,0.7134
-24.3941,-19.3817,0.7134,0.7134
-24.3941,-19.3104,0.7134,0.7134
-24.3941,-19.2390,0.7134,0.7134
-24.3941,-19.1677,0.7134,0.7134
-24.3941,-19.0963,0.7026,0.7026
-24.3941,-19.0250,0.6768,0.6768
-24.3941,-18.9537,0.6577,0.6577
-24.3941,-18.8823,0.6460,0.6460
-24.3941,-18.8110,0.6421,0.6421
-24.3228,-18.7396,0.7134,0.7134
-24.3228,-18.6683,0.7134,0.7134
-24.3228,-18.5970,0.7134,0.7134
-24.3228,-18.5256,0.7134,0.7134
-24.3228,-18.4543,0.7134,0.7134
-24.3228,-18.3829,0.7134,0.7134
-24.3228,-18.3116,0.7134,0.7134
-24.3228,-18.2403,0.7134,0.7134
-24.3228,-18.1689,0.7026,0.7026
-24.3228,-18.0976,0.6768,0.6768
-24.2515,-18.0262,0.7134,0.7134
-24.2515,-17.9549,0.7134,0.7134
-24.2515,-17.8836,0.7134,0.7134
-24.2515,-17.8122,0.7134,0.7134
-24.2515,-17.7409,0.7134,0.7134
-24.2515,-17.6695,0.7026,0.7026
-24.1801,-17.5982,0.6768,0.6768
-24.1801,-17.5269,0.7026,0.7026
-24.1801,-17.4555,0.7134,0.7134
-24.1801,-17.3842,0.7134,0.7134
-24.1801,-17.3128,0.7134,0.7134
-24.1801,-17.2415,0.7026,0.7026
-24.1088,-17.1702,0.6768,0.6768
-24.1088,-17.0988,0.7026,0.7026
-24.1088,-17.0275,0.7134,0.7134
-24.1088,-16.9561,0.7026,0.7026
-24.1088,-16.8848,0.6768,0.6768
-24.0374,-16.8135,0.6768,0.6768
-24.0374,-16.7421,0.7026,0.7026
-24.0374,-16.6708,0.7026,0.7026
-24.0374,-16.5994,0.6768,0.6768
-23.9661,-16.5281,0.7026,0.7026
-23.9661,-16.4568,0.7026,0.7026
-23.9661,-16.3854,0.6768,0.6768
-23.8948,-16.3141,0.7026,0.7026
-23.8948,-16.2427,0.7026,0.7026
-23.8234,-16.1714,0.6768,0.6768
-23.8234,-16.1001,0.7026,0.7026
-23.8234,-16.0287,0.7026,0.7026
-23.7521,-15.9574,0.6768,0.6768
-23.7521,-15.8860,0.7026,0.7026
-23.7521,-15.8147,0.6768,0.6768
-23.6807,-15.7434,0.7026,0.7026
-23.6807,-15.6720,0.7026,0.7026
-23.6094,-15.6007,0.7026,0.7026
-23.6094,-15.5293,0.7026,0.7026
-23.5381,-15.4580,0.7026,0.7026
-23.5381,-15.3867,0.7026,0.7026
-23.4667,-15.3153,0.6768,0.6768
-23.4667,-15.2440,0.7026,0.7026
-23.3954,-15.1726,0.6730,0.6730
-23.3954,-15.1013,0.7026,0.7026
-23.3954,-15.0300,0.6730,0.6730
-23.3240,-14.9586,0.7026,0.7026
-23.3240,-14.8873,0.6730,0.6730
-23.2527,-14.8159,0.7026,0.7026
-23.2527,-14.7446,0.6730,0.6730
-23.1814,-14.6733,0.7026,0.7026
-23.1814,-14.6019,0.6730,0.6730
-23.1100,-14.5306,0.7026,0.7026
-23.1100,-14.4592,0.6730,0.6730
-23.0387,-14.3879,0.7026,0.7026
-23.0387,-14.3166,0.6730,0.6730
-22.9673,-14.2452,0.7026,0.7026
-22.9673,-14.1739,0.6730,0.6730
-22.8960,-14.1025,0.7026,0.7026
-22.8960,-14.0312,0.6730,0.6730
-22.8247,-13.9599,0.7026,0.7026
-22.8247,-13.8885,0.6730,0.6730
-22.7533,-13.8172,0.7026,0.7026
-22.7533,-13.7458,0.6730,0.6730
-22.6820,-13.6745,0.7026,0.7026
-22.6820,-13.6032,0.6730,0.6730
-22.6106,-13.5318,0.7026,0.7026
-22.6106,-13.4605,0.6730,0.6730
-22.5393,-13.3891,0.7026,0.7026
-22.5393,-13.3178,0.6730,0.6730
-22.4680,-13.2465,0.7026,0.7026
-22.4680,-13.1751,0.6730,0.6730
-22.3966,-13.1038,0.7026,0.7026
-22.3966,-13.0324,0.6730,0.6730
-22.3253,-12.9611,0.7026,0.7026
-22.2539,-12.8898,0.7026,0.7026
-22.2539,-12.8184,0.7026,0.7026
-22.1826,-12.7471,0.7026,0.7026
-22.1826,-12.6757,0.7026,0.7026
-22.1113,-12.6044,0.7026,0.7026
-22.1113,-12.5331,0.7026,0.7026
-22.0399,-12.4617,0.7026,0.7026
-22.0399,-12.3904,0.7026,0.7026
-21.9686,-12.3190,0.7026,0.7026
-21.9686,-12.2477,0.7026,0.7026
-21.8972,-12.1764,0.7026,0.7026
-21.8972,-12.1050,0.7026,0.7026
-21.8259,-12.0337,0.7026,0.7026
-21.8259,-11.9623,0.7026,0.7026
-21.7546,-11.8910,0.7026,0.7026
-21.7546,-11.8197,0.7026,0.7026
-21.6832,-11.7483,0.6768,0.6768
-21.6832,-11.6770,0.7026,0.7026
-21.6119,-11.6056,0.6730,0.6730
-21.6119,-11.5343,0.7026,0.7026
-21.6119,-11.4630,0.6730,0.6730
-21.5405,-11.3916,0.7026,0.7026
-21.5405,-11.3203,0.6730,0.6730
-21.4692,-11.2489,0.7026,0.7026
-21.4692,-11.1776,0.6730,0.6730
-21.3979,-11.1063,0.7026,0.7026
-21.3979,-11.0349,0.6768,0.6768
-21.3265,-10.9636,0.7026,0.7026
-21.3265,-10.8922,0.7026,0.7026
-21.2552,-10.8209,0.7026,0.7026
-21.2552,-10.7496,0.7026,0.7026
-21.1838,-10.6782,0.7026,0.7026
-21.1838,-10.6069,0.7026,0.7026
-21.1125,-10.5355,0.7026,0.7026
-21.1125,-10.4642,0.7026,0.7026
-21.0412,-10.3929,0.6768,0.6768
-21.0412,-10.3215,0.7026,0.7026
-21.0412,-10.2502,0.6730,0.6730
-20.9698,-10.1788,0.7026,0.7026
-20.9698,-10.1075,0.6768,0.6768
-20.8985,-10.0362,0.7026,0.7026
-20.8985,-9.9648,0.7026,0.7026
-20.8271,-9.8935,0.7026,0.7026
-20.8271,-9.8221,0.7026,0.7026
-20.7558,-9.7508,0.6768,0.6768
-20.7558,-9.6795,0.7026,0.7026
-20.7558,-9.6081,0.6730,0.6730
-20.6845,-9.5368,0.7026,0.7026
-20.6845,-9.4654,0.6768,0.6768
-20.6131,-9.3941,0.7026,0.7026
-20.6131,-9.3228,0.7026,0.7026
-20.5418,-9.2514,0.6768,0.6768
-20.5418,-9.1801,0.7026,0.7026
-20.5418,-9.1087,0.6730,0.6730
-20.4704,-9.0374,0.7026,0.7026
-20.4704,-8.9661,0.6768,0.6768
-20.3991,-8.8947,0.7026,0.7026
-20.3991,-8.8234,0.7026,0.7026
-20.3991,-8.7520,0.6730,0.6730
-20.3278,-8.6807,0.7026,0.7026
-20.3278,-8.6094,0.6768,0.6768
-20.2564,-8.5380,0.7026,0.7026
-20.2564,-8.4667,0.7026,0.7026
-20.1851,-8.3953,0.7026,0.7026
-20.1851,-8.3240,0.7026,0.7026
-20.1851,-8.2527,0.6730,0.6730
-20.1137,-8.1813,0.7026,0.7026
-20.1137,-8.1100,0.6768,0.6768
-20.0424,-8.0386,0.7026,0.7026
-20.0424,-7.9673,0.7026,0.7026
-20.0424,-7.8960,0.6730,0.6730
-19.9711,-7.8246,0.7026,0.7026
-19.9711,-7.7533,0.6768,0.6768
-19.8997,-7.6819,0.7026,0.7026
-19.8997,-7.6106,0.7026,0.7026
-19.8997,-7.5393,0.6730,0.6730
-19.8284,-7.4679,0.7026,0.7026
-19.8284,-7.3966,0.6768,0.6768
-19.7570,-7.3252,0.7026,0.7026
-19.7570,-7.2539,0.7026,0.7026
-19.7570,-7.1826,0.6730,0.6730
-19.6857,-7.1112,0.7026,0.7026
-19.6857,-7.0399,0.6768,0.6768
-19.6144,-6.9685,0.7026,0.7026
-19.6144,-6.8972,0.7026,0.7026
-19.5430,-6.8259,0.7026,0.7026
-19.5430,-6.7545,0.7026,0.7026
-19.5430,-6.6832,0.6730,0.6730
-19.4717,-6.6118,0.7026,0.7026
-19.4717,-6.5405,0.6768,0.6768
-19.4003,-6.4692,0.7026,0.7026
-19.4003,-6.3978,0.7026,0.7026
-19.4003,-6.3265,0.6730,0.6730
-19.3290,-6.2551,0.7026,0.7026
-19.3290,-6.1838,0.6768,0.6768
-19.2577,-6.1125,0.7026,0.7026
-19.2577,-6.0411,0.7026,0.7026
-19.2577,-5.9698,0.6730,0.6730
-19.1863,-5.8984,0.7026,0.7026
-19.1863,-5.8271,0.6768,0.6768
-19.1150,-5.7558,0.7026,0.7026
-19.1150,-5.6844,0.7026,0.7026
-19.1150,-5.6131,0.6730,0.6730
-19.0436,-5.5417,0.7026,0.7026
-19.0436,-5.4704,0.6768,0.6768
-18.9723,-5.3991,0.7026,0.7026
-18.9723,-5.3277,0.7026,0.7026
-18.9723,-5.2564,0.6730,0.6730
-18.9010,-5.1850,0.7026,0.7026
-18.9010,-5.1137,0.6768,0.6768
-18.8296,-5.0424,0.7026,0.7026
-18.8296,-4.9710,0.7026,0.7026
-18.8296,-4.8997,0.6730,0.6730
-18.7583,-4.8283,0.7026,0.7026
-18.7583,-4.7570,0.6768,0.6768
-18.6869,-4.6857,0.7026,0.7026
-18.6869,-4.6143,0.7026,0.7026
-18.6869,-4.5430,0.6730,0.6730
-18.6156,-4.4716,0.7026,0.7026
-18.6156,-4.4003,0.6768,0.6768
-18.5443,-4.3290,0.7026,0.7026
-18.5443,-4.2576,0.7026,0.7026
-18.4729,-4.1863,0.7026,0.7026
-18.4729,-4.1149,0.7026,0.7026
-18.4729,-4.0436,0.6768,0.6768
-18.4016,-3.9723,0.7026,0.7026
-18.4016,-3.9009,0.7026,0.7026
-18.3302,-3.8296,0.7026,0.7026
-18.3302,-3.7582,0.7026,0.7026
-18.3302,-3.6869,0.6730,0.6730
-18.2589,-3.6156,0.7026,0.7026
-18.2589,-3.5442,0.6768,0.6768
-18.1876,-3.4729,0.7026,0.7026
-18.1876,-3.4015,0.7026,0.7026
-18.1876,-3.3302,0.6730,0.6730
-18.1162,-3.2589,0.7026,0.7026
-18.1162,-3.1875,0.6768,0.6768
-18.0449,-3.1162,0.7026,0.7026
-18.0449,-3.0448,0.7026,0.7026
-18.0449,-2.9735,0.6730,0.6730
-17.9735,-2.9022,0.7026,0.7026
-17.9735,-2.8308,0.6768,0.6768
-17.9022,-2.7595,0.7026,0.7026
-17.9022,-2.6881,0.7026,0.7026
-17.9022,-2.6168,0.6730,0.6730
-17.8309,-2.5455,0.7026,0.7026
-17.8309,-2.4741,0.6768,0.6768
-17.7595,-2.4028,0.7026,0.7026
-17.7595,-2.3314,0.7026,0.7026
-17.7595,-2.2601,0.6730,0.6730
-17.6882,-2.1888,0.7026,0.7026
-17.6882,-2.1174,0.6768,0.6768
-17.6168,-2.0461,0.7026,0.7026
-17.6168,-1.9747,0.7026,0.7026
-17.6168,-1.9034,0.6730,0.6730
-17.5455,-1.8321,0.7026,0.7026
-17.5455,-1.7607,0.6768,0.6768
-17.4742,-1.6894,0.7026,0.7026
-17.4742,-1.6180,0.7026,0.7026
-17.4742,-1.5467,0.6730,0.6730
-17.4028,-1.4754,0.7026,0.7026
-17.4028,-1.4040,0.6768,0.6768
-17.3315,-1.3327,0.7026,0.7026
-17.3315,-1.2613,0.7026,0.7026
-17.3315,-1.1900,0.6730,0.6730
-17.2601,-1.1187,0.7026,0.7026
-17.2601,-1.0473,0.6768,0.6768
-17.1888,-0.9760,0.7026,0.7026
-17.1888,-0.9046,0.7026,0.7026
-17.1888,-0.8333,0.6730,0.6730
-17.1175,-0.7620,0.7026,0.7026
-17.1175,-0.6906,0.6768,0.6768
-17.0461,-0.6193,0.7026,0.7026
-17.0461,-0.5479,0.7026,0.7026
-16.9748,-0.4766,0.7026,0.7026
-16.9748,-0.4053,0.7026,0.7026
-16.9748,-0.3339,0.6730,0.6730
-16.9034,-0.2626,0.7026,0.7026
-16.9034,-0.1912,0.6768,0.6768
-16.8321,-0.1199,0.7026,0.7026
-16.8321,-0.0486,0.7026,0.7026
-16.8321,0.0228,0.6730,0.6730
-16.7608,0.0941,0.7026,0.7026
-16.7608,0.1655,0.6768,0.6768
-16.6894,0.2368,0.7026,0.7026
-16.6894,0.3081,0.7026,0.7026
-16.6894,0.3795,0.6730,0.6730
-16.6181,0.4508,0.7026,0.7026
-16.6181,0.5222,0.6768,0.6768
-16.5467,0.5935,0.7026,0.7026
-16.5467,0.6648,0.7026,0.7026
-16.5467,0.7362,0.6730,0.6730
-16.4754,0.8075,0.7026,0.7026
-16.4754,0.8789,0.6768,0.6768
-16.4041,0.9502,0.7026,0.7026
-16.4041,1.0215,0.7026,0.7026
-16.4041,1.0929,0.6730,0.6730
-16.3327,1.1642,0.7026,0.7026
-16.3327,1.2356,0.6768,0.6768
-16.2614,1.3069,0.7026,0.7026
-16.2614,1.3782,0.7026,0.7026
-16.2614,1.4496,0.6730,0.6730
-16.1900,1.5209,0.7026,0.7026
-16.1900,1.5923,0.6768,0.6768
-16.1187,1.6636,0.7026,0.7026
-16.1187,1.7349,0.7026,0.7026
-16.1187,1.8063,0.6730,0.6730
-16.0474,1.8776,0.7026,0.7026
-16.0474,1.9490,0.6768,0.6768
-15.9760,2.0203,0.7026,0.7026
-15.9760,2.0916,0.7026,0.7026
-15.9760,2.1630,0.6730,0.6730
-15.9047,2.2343,0.7026,0.7026
-15.9047,2.3057,0.6768,0.6768
-15.8333,2.3770,0.7026,0.7026
-15.8333,2.4483,0.7026,0.7026
-15.8333,2.5197,0.6730,0.6730
-15.7620,2.5910,0.7026,0.7026
-15.7620,2.6624,0.6768,0.6768
-15.6907,2.7337,0.7026,0.7026
-15.6907,2.8050,0.7026,0.7026
-15.6907,2.8764,0.6730,0.6730
-15.6193,2.9477,0.7026,0.7026
-15.6193,3.0191,0.6768,0.6768
-15.5480,3.0904,0.7026,0.7026
-15.5480,3.1617,0.7026,0.7026
-15.5480,3.2331,0.6768,0.6768
-15.4766,3.3044,0.7026,0.7026
-15.4766,3.3758,0.7026,0.7026
-15.4053,3.4471,0.6768,0.6768
-15.4053,3.5184,0.7026,0.7026
-15.4053,3.5898,0.6768,0.6768
-15.3340,3.6611,0.7026,0.7026
-15.3340,3.7325,0.7026,0.7026
-15.3340,3.8038,0.6730,0.6730
-15.2626,3.8751,0.7026,0.7026
-15.2626,3.9465,0.6768,0.6768
-15.1913,4.0178,0.7026,0.7026
-15.1913,4.0892,0.7026,0.7026
-15.1913,4.1605,0.6768,0.6768
-15.1199,4.2318,0.7026,0.7026
-15.1199,4.3032,0.7026,0.7026
-15.0486,4.3745,0.6768,0.6768
-15.0486,4.4459,0.7026,0.7026
-15.0486,4.5172,0.6768,0.6768
-14.9773,4.5885,0.7026,0.7026
-14.9773,4.6599,0.7026,0.7026
-14.9773,4.7312,0.6768,0.6768
-14.9059,4.8026,0.7026,0.7026
-14.9059,4.8739,0.7026,0.7026
-14.8346,4.9452,0.6768,0.6768
-14.8346,5.0166,0.7026,0.7026
-14.8346,5.0879,0.6768,0.6768
-14.7632,5.1593,0.7026,0.7026
-14.7632,5.2306,0.7026,0.7026
-14.7632,5.3019,0.6768,0.6768
-14.6919,5.3733,0.7026,0.7026
-14.6919,5.4446,0.7026,0.7026
-14.6919,5.5160,0.6768,0.6768
-14.6206,5.5873,0.7026,0.7026
-14.6206,5.6586,0.7026,0.7026
-14.5492,5.7300,0.6768,0.6768
-14.5492,5.8013,0.7026,0.7026
-14.5492,5.8727,0.7026,0.7026
-14.5492,5.9440,0.6730,0.6730
-14.4779,6.0153,0.7026,0.7026
-14.4779,6.0867,0.6768,0.6768
-14.4779,6.1580,0.6577,0.6577
-14.4065,6.2294,0.7026,0.7026
-14.4065,6.3007,0.7026,0.7026
-14.4065,6.3720,0.6768,0.6768
-14.3352,6.4434,0.7026,0.7026
-14.3352,6.5147,0.7026,0.7026
-14.3352,6.5861,0.6768,0.6768
-14.2639,6.6574,0.7026,0.7026
-14.2639,6.7287,0.7026,0.7026
-14.2639,6.8001,0.6768,0.6768
-14.2639,6.8714,0.6577,0.6577
-14.1925,6.9428,0.7026,0.7026
-14.1925,7.0141,0.6768,0.6768
-14.1925,7.0854,0.6577,0.6577
-14.1925,7.1568,0.6460,0.6460
-14.1212,7.2281,0.7134,0.7134
-14.1212,7.2995,0.7026,0.7026
-14.1212,7.3708,0.6768,0.6768
-14.1212,7.4421,0.6577,0.6577
-14.0498,7.5135,0.7134,0.7134
-14.0498,7.5848,0.7026,0.7026
-14.0498,7.6562,0.6768,0.6768
-14.0498,7.7275,0.6577,0.6577
-13.9785,7.7988,0.7026,0.7026
-13.9785,7.8702,0.7134,0.7134
-13.9785,7.9415,0.7026,0.7026
-13.9785,8.0129,0.6768,0.6768
-13.9785,8.0842,0.6577,0.6577
-13.9072,8.1555,0.7134,0.7134
-13.9072,8.2269,0.7026,0.7026
-13.9072,8.2982,0.6768,0.6768
-13.9072,8.3696,0.6577,0.6577
-13.8358,8.4409,0.7026,0.7026
-13.8358,8.5122,0.7134,0.7134
-13.8358,8.5836,0.7026,0.7026
-13.8358,8.6549,0.6768,0.6768
-13.8358,8.7263,0.6577,0.6577
-13.7645,8.7976,0.7026,0.7026
-13.7645,8.8689,0.7134,0.7134
-13.7645,8.9403,0.7026,0.7026
-13.7645,9.0116,0.6768,0.6768
-13.7645,9.0830,0.6577,0.6577
-13.6931,9.1543,0.7134,0.7134
-13.6931,9.2256,0.7026,0.7026
-13.6931,9.2970,0.6768,0.6768
-13.6931,9.3683,0.6577,0.6577
-13.6218,9.4397,0.7026,0.7026
-13.6218,9.5110,0.7026,0.7026
-13.6218,9.5823,0.6768,0.6768
-13.6218,9.6537,0.6577,0.6577
-13.6218,9.7250,0.6460,0.6460
-13.5505,9.7964,0.7134,0.7134
-13.5505,9.8677,0.7026,0.7026
-13.5505,9.9390,0.6768,0.6768
-13.5505,10.0104,0.6577,0.6577
-13.4791,10.0817,0.7134,0.7134
-13.4791,10.1531,0.7026,0.7026
-13.4791,10.2244,0.6768,0.6768
-13.4791,10.2957,0.6577,0.6577
-13.4078,10.3671,0.7026,0.7026
-13.4078,10.4384,0.7134,0.7134
-13.4078,10.5098,0.7026,0.7026
-13.4078,10.5811,0.6768,0.6768
-13.4078,10.6524,0.6577,0.6577
-13.3364,10.7238,0.7134,0.7134
-13.3364,10.7951,0.7026,0.7026
